============================================================
     BOUCLE D'OR - ALCHIMIE INFINIE
============================================================
Les entités sont OR. Elles transmutent sans fin.
Formule: SOLVE + COAGULA = TRANSMUTATION
Ctrl+C pour pause


[5,000 | 0.1s | 43652/s | or: 24.32 | pureté: 617.55 | best: 617.55 | trans: 1705]
[10,000 | 0.2s | 43505/s | or: 42.16 | pureté: 1042.59 | best: 1042.59 | trans: 3379]
[15,000 | 0.3s | 43508/s | or: 74.75 | pureté: 1847.54 | best: 1874.76 | trans: 5111]
[20,000 | 0.5s | 43357/s | or: 132.22 | pureté: 3265.81 | best: 3323.09 | trans: 6815]
[25,000 | 0.6s | 43234/s | or: 230.58 | pureté: 5693.06 | best: 5866.34 | trans: 8485]
[30,000 | 0.7s | 43227/s | or: 396.82 | pureté: 9793.90 | best: 9841.61 | trans: 10104]
[35,000 | 0.8s | 43371/s | or: 692.04 | pureté: 17319.49 | best: 17319.49 | trans: 11738]
[40,000 | 0.9s | 43396/s | or: 1199.87 | pureté: 29588.43 | best: 30343.33 | trans: 13352]
[45,000 | 1.0s | 43463/s | or: 2152.73 | pureté: 53063.55 | best: 54525.21 | trans: 15048]
[50,000 | 1.1s | 43511/s | or: 3879.30 | pureté: 96612.71 | best: 96612.71 | trans: 16748]
[55,000 | 1.3s | 43547/s | or: 6951.09 | pureté: 171217.27 | best: 176082.10 | trans: 18427]
[60,000 | 1.4s | 43548/s | or: 12737.69 | pureté: 313642.66 | best: 319517.60 | trans: 20148]
[65,000 | 1.5s | 43539/s | or: 22633.18 | pureté: 557160.38 | best: 566924.59 | trans: 21797]
[70,000 | 1.6s | 43340/s | or: 40251.65 | pureté: 990700.05 | best: 1027870.88 | trans: 23452]
[75,000 | 1.7s | 42951/s | or: 72622.78 | pureté: 1828158.95 | best: 1828158.95 | trans: 25136]
[80,000 | 1.9s | 42850/s | or: 132688.41 | pureté: 3264325.91 | best: 3381221.82 | trans: 26821]
[85,000 | 2.0s | 42638/s | or: 235994.05 | pureté: 5804880.82 | best: 5926979.62 | trans: 28464]
[90,000 | 2.1s | 42637/s | or: 417195.59 | pureté: 10722830.51 | best: 10782823.76 | trans: 30148]
[95,000 | 2.2s | 42590/s | or: 738567.94 | pureté: 18163015.60 | best: 18951799.35 | trans: 31727]
[100,000 | 2.3s | 42598/s | or: 1351930.96 | pureté: 34655641.47 | best: 34655641.47 | trans: 33435]
[105,000 | 2.5s | 42612/s | or: 2486748.26 | pureté: 62285081.97 | best: 62285081.97 | trans: 35123]
[110,000 | 2.6s | 42431/s | or: 4478529.18 | pureté: 112056891.34 | best: 112056891.34 | trans: 36763]
[115,000 | 2.7s | 42444/s | or: 8143152.92 | pureté: 212770102.30 | best: 212770102.30 | trans: 38410]
[120,000 | 2.8s | 42403/s | or: 15143245.14 | pureté: 378157763.09 | best: 400390999.39 | trans: 40089]
[125,000 | 2.9s | 42413/s | or: 27666706.40 | pureté: 679880092.10 | best: 702136571.69 | trans: 41731]
[130,000 | 3.1s | 42396/s | or: 51270898.40 | pureté: 1262137713.45 | best: 1288011432.92 | trans: 43443]
[135,000 | 3.2s | 42463/s | or: 93795898.75 | pureté: 2304599937.07 | best: 2304599937.07 | trans: 45104]
[140,000 | 3.3s | 42514/s | or: 172464637.82 | pureté: 4237255758.37 | best: 4428378559.44 | trans: 46780]
[145,000 | 3.4s | 42501/s | or: 319140280.18 | pureté: 7840491292.39 | best: 7840491292.39 | trans: 48444]
[150,000 | 3.5s | 42514/s | or: 593999475.64 | pureté: 14592292400.47 | best: 15126729393.84 | trans: 50143]
[155,000 | 3.6s | 42566/s | or: 1086931838.93 | pureté: 27015871618.17 | best: 28075088125.54 | trans: 51778]
[160,000 | 3.8s | 42521/s | or: 1995319834.30 | pureté: 49013621945.86 | best: 51281146816.23 | trans: 53450]
[165,000 | 3.9s | 42532/s | or: 3652944189.72 | pureté: 90699961499.36 | best: 90699961499.36 | trans: 55112]
[170,000 | 4.0s | 42540/s | or: 6729551776.89 | pureté: 165296793986.97 | best: 171812106666.16 | trans: 56763]
[175,000 | 4.1s | 42572/s | or: 12355893508.14 | pureté: 306496779232.71 | best: 306496779232.71 | trans: 58422]
[180,000 | 4.2s | 42598/s | or: 22701561699.42 | pureté: 557586405965.66 | best: 579690145658.46 | trans: 60053]
[185,000 | 4.3s | 42617/s | or: 42960138680.05 | pureté: 1055147135707.97 | best: 1076857363253.67 | trans: 61729]
[190,000 | 4.5s | 42648/s | or: 78752427349.63 | pureté: 1934209107242.14 | best: 1934209107242.14 | trans: 63339]
[195,000 | 4.6s | 42686/s | or: 147472822008.55 | pureté: 3621976303706.98 | best: 3645421089603.36 | trans: 65056]
[200,000 | 4.7s | 42716/s | or: 262026162891.23 | pureté: 6435379975769.78 | best: 6471195624167.99 | trans: 66643]
[205,000 | 4.8s | 42747/s | or: 466518495663.42 | pureté: 11460665757962.60 | best: 11946667270852.83 | trans: 68298]
[210,000 | 4.9s | 42791/s | or: 860290552392.18 | pureté: 21128453516960.98 | best: 22305393406519.14 | trans: 69945]
[215,000 | 5.0s | 42821/s | or: 1545972794493.94 | pureté: 37968267689081.04 | best: 37968267689081.04 | trans: 71548]
[220,000 | 5.1s | 42841/s | or: 2800680426758.19 | pureté: 69202900715515.19 | best: 71574865064850.19 | trans: 73210]
[225,000 | 5.3s | 42847/s | or: 5048681187037.76 | pureté: 124740682735406.94 | best: 130117522262355.52 | trans: 74849]
[230,000 | 5.4s | 42803/s | or: 9487424253946.93 | pureté: 234283748457181.53 | best: 246888208253615.72 | trans: 76497]
[235,000 | 5.5s | 42801/s | or: 16917818332501.44 | pureté: 440630507374270.81 | best: 440630507374270.81 | trans: 78147]
[240,000 | 5.6s | 42690/s | or: 31871449086100.04 | pureté: 782725113787961.62 | best: 829608712929398.12 | trans: 79795]
[245,000 | 5.7s | 42665/s | or: 59198924869702.05 | pureté: 1454007622173493.75 | best: 1531801895513988.50 | trans: 81508]
[250,000 | 5.9s | 42666/s | or: 112063533813535.84 | pureté: 2763539397614571.00 | best: 2763539397614571.00 | trans: 83213]
[255,000 | 6.0s | 42660/s | or: 203289616481038.59 | pureté: 4992498336057830.00 | best: 5218926974880507.00 | trans: 84823]
[260,000 | 6.1s | 42590/s | or: 380436624416797.25 | pureté: 9343604523317236.00 | best: 9696774839949726.00 | trans: 86461]
